  TRIG, THRES, RESET,   OUT
  0.00,  2.71,  5.00,  5.00
  0.00,  2.69,  5.00,  5.00
  0.00,  2.67,  5.00,  5.00
  0.00,  2.65,  5.00,  5.00
  0.00,  2.63,  5.00,  5.00
  0.00,  2.62,  5.00,  5.00
  0.00,  2.60,  5.00,  5.00
  0.00,  2.58,  5.00,  5.00
  0.00,  2.55,  5.00,  5.00
  0.00,  2.53,  5.00,  5.00
  0.00,  2.52,  5.00,  5.00
  0.00,  2.50,  5.00,  5.00
  0.00,  2.48,  5.00,  5.00
  0.00,  2.46,  5.00,  5.00
  0.00,  2.44,  5.00,  5.00
  0.00,  2.42,  5.00,  5.00
  0.00,  2.40,  5.00,  5.00
  0.00,  2.39,  5.00,  5.00
  0.00,  2.37,  5.00,  5.00
  0.00,  2.35,  5.00,  5.00
  0.00,  2.32,  5.00,  5.00
  0.00,  2.31,  5.00,  5.00
  0.00,  2.28,  5.00,  5.00
  0.00,  2.26,  5.00,  5.00
  0.00,  2.24,  5.00,  5.00
  0.00,  2.22,  5.00,  5.00
  0.00,  2.21,  5.00,  5.00
  0.00,  2.19,  5.00,  5.00
  0.00,  2.17,  5.00,  5.00
  0.00,  2.15,  5.00,  5.00
  0.00,  2.13,  5.00,  5.00
  0.00,  2.11,  5.00,  5.00
  0.00,  2.09,  5.00,  5.00
  0.00,  2.07,  5.00,  5.00
  0.00,  2.05,  5.00,  5.00
  0.00,  2.03,  5.00,  5.00
  0.00,  2.01,  5.00,  5.00
  0.00,  1.99,  5.00,  5.00
  0.00,  1.97,  5.00,  5.00
  0.00,  1.96,  5.00,  5.00
  0.00,  1.94,  5.00,  5.00
  0.00,  1.92,  5.00,  4.99
  0.00,  1.90,  5.00,  5.00
  0.00,  1.88,  5.00,  5.00
  0.00,  1.86,  5.00,  5.00
  0.00,  1.84,  5.00,  5.00
  0.00,  1.82,  5.00,  5.00
  0.00,  1.80,  5.00,  5.00
  0.00,  1.78,  5.00,  5.00
  0.00,  1.76,  5.00,  5.00
  0.00,  1.74,  5.00,  5.00
  0.00,  1.72,  5.00,  5.00
  0.00,  1.71,  5.00,  5.00
  0.00,  1.69,  5.00,  5.00
  0.00,  1.66,  5.00,  5.00
  0.00,  1.65,  5.00,  5.00
  0.00,  1.62,  5.00,  5.00
  0.00,  1.60,  5.00,  5.00
  0.00,  1.59,  5.00,  5.00
  0.00,  1.57,  5.00,  5.00
  0.00,  1.55,  5.00,  5.00
  0.00,  1.53,  5.00,  5.00
  0.00,  1.51,  5.00,  5.00
  0.00,  1.49,  5.00,  5.00
  0.00,  1.47,  5.00,  5.00
  0.00,  1.45,  5.00,  5.00
  0.00,  1.43,  5.00,  5.00
  0.00,  1.41,  5.00,  5.00
  0.00,  1.39,  5.00,  5.00
  0.00,  1.37,  5.00,  5.00
  0.00,  1.35,  5.00,  5.00
  0.00,  1.33,  5.00,  5.00
  0.00,  1.31,  5.00,  5.00
  0.00,  1.30,  5.00,  4.99
  0.00,  1.28,  5.00,  5.00
  0.00,  1.26,  5.00,  5.00
  0.00,  1.24,  5.00,  5.00
  0.00,  1.22,  4.99,  5.00
  0.00,  1.20,  5.00,  5.00
  0.00,  1.18,  5.00,  5.00
  0.00,  1.16,  5.00,  5.00
  0.00,  1.14,  5.00,  5.00
  0.00,  1.12,  5.00,  5.00
  0.00,  1.10,  5.00,  5.00
  0.00,  1.08,  5.00,  5.00
  0.00,  1.06,  5.00,  5.00
  0.00,  1.04,  5.00,  5.00
  0.00,  1.03,  5.00,  5.00
  0.00,  1.00,  5.00,  5.00
  0.00,  0.98,  5.00,  5.00
  0.00,  0.96,  5.00,  5.00
  0.00,  0.95,  5.00,  5.00
  0.00,  0.93,  5.00,  5.00
  0.00,  0.91,  5.00,  5.00
  0.00,  0.89,  5.00,  5.00
  0.00,  0.87,  5.00,  5.00
  0.00,  0.85,  5.00,  5.00
  0.00,  0.83,  5.00,  5.00
  0.00,  0.81,  5.00,  5.00
  0.00,  0.79,  5.00,  5.00
  0.00,  0.77,  5.00,  5.00
  0.00,  0.75,  5.00,  5.00
  0.00,  0.73,  5.00,  5.00
  0.00,  0.71,  4.99,  5.00
  0.00,  0.69,  5.00,  5.00
  0.00,  0.67,  5.00,  5.00
  0.00,  0.65,  5.00,  5.00
  0.00,  0.64,  5.00,  5.00
  0.00,  0.62,  5.00,  5.00
  0.00,  0.60,  5.00,  5.00
  0.00,  0.58,  5.00,  5.00
  0.00,  0.56,  5.00,  5.00
  0.00,  0.54,  5.00,  5.00
  0.00,  0.52,  5.00,  5.00
  0.00,  0.50,  5.00,  5.00
  0.00,  0.48,  5.00,  5.00
  0.00,  0.46,  5.00,  5.00
  0.00,  0.44,  5.00,  5.00
  0.00,  0.42,  5.00,  5.00
  0.00,  0.40,  5.00,  5.00
  0.00,  0.38,  5.00,  5.00
  0.00,  0.36,  5.00,  5.00
  0.00,  0.34,  5.00,  5.00
  0.00,  0.33,  5.00,  5.00
  0.00,  0.31,  5.00,  5.00
  0.00,  0.29,  5.00,  5.00
  0.00,  0.27,  5.00,  5.00
  0.00,  0.25,  5.00,  5.00
  0.00,  0.23,  5.00,  5.00
  0.00,  0.21,  5.00,  5.00
  0.00,  0.19,  5.00,  5.00
  0.00,  0.17,  5.00,  5.00
  0.00,  0.15,  5.00,  5.00
  0.00,  0.13,  5.00,  5.00
  0.00,  0.11,  5.00,  5.00
  0.00,  0.09,  5.00,  5.00
  0.00,  0.07,  5.00,  5.00
  0.00,  0.05,  5.00,  5.00
  0.00,  0.03,  5.00,  5.00
  0.00,  0.03,  5.00,  5.00
  0.00,  0.05,  5.00,  5.00
  0.00,  0.07,  5.00,  5.00
  0.00,  0.09,  5.00,  5.00
  0.00,  0.11,  5.00,  5.00
  0.00,  0.13,  5.00,  5.00
  0.00,  0.15,  5.00,  5.00
  0.00,  0.17,  5.00,  5.00
  0.00,  0.19,  5.00,  5.00
  0.00,  0.21,  5.00,  5.00
  0.00,  0.23,  5.00,  5.00
  0.00,  0.25,  5.00,  5.00
  0.00,  0.27,  5.00,  5.00
  0.00,  0.29,  5.00,  5.00
  0.00,  0.31,  5.00,  5.00
  0.00,  0.33,  5.00,  5.00
  0.00,  0.34,  5.00,  5.00
  0.00,  0.36,  5.00,  5.00
  0.00,  0.38,  5.00,  5.00
  0.00,  0.40,  5.00,  5.00
  0.00,  0.42,  5.00,  5.00
  0.00,  0.44,  4.99,  5.00
  0.00,  0.46,  5.00,  5.00
  0.00,  0.48,  5.00,  5.00
  0.00,  0.50,  5.00,  5.00
  0.00,  0.52,  5.00,  5.00
  0.00,  0.54,  5.00,  5.00
  0.00,  0.56,  5.00,  5.00
  0.00,  0.58,  5.00,  5.00
  0.00,  0.60,  5.00,  5.00
  0.00,  0.62,  5.00,  5.00
  0.00,  0.64,  5.00,  5.00
  0.00,  0.65,  5.00,  5.00
  0.00,  0.67,  5.00,  5.00
  0.00,  0.69,  5.00,  5.00
  0.00,  0.71,  5.00,  5.00
  0.00,  0.73,  5.00,  5.00
  0.00,  0.75,  5.00,  5.00
  0.00,  0.77,  5.00,  5.00
  0.00,  0.79,  5.00,  5.00
  0.00,  0.81,  5.00,  5.00
  0.00,  0.83,  5.00,  5.00
  0.00,  0.85,  5.00,  5.00
  0.00,  0.87,  5.00,  5.00
  0.00,  0.89,  5.00,  5.00
  0.00,  0.91,  5.00,  5.00
  0.00,  0.93,  5.00,  5.00
  0.00,  0.95,  5.00,  5.00
  0.00,  0.96,  5.00,  5.00
  0.00,  0.98,  5.00,  5.00
  0.00,  1.00,  5.00,  5.00
  0.00,  1.02,  5.00,  5.00
  0.00,  1.04,  5.00,  5.00
  0.00,  1.06,  5.00,  5.00
  0.00,  1.08,  5.00,  5.00
  0.00,  1.10,  5.00,  5.00
  0.00,  1.12,  5.00,  5.00
  0.00,  1.14,  5.00,  4.99
  0.00,  1.16,  5.00,  5.00
  0.00,  1.18,  5.00,  5.00
  0.00,  1.20,  5.00,  4.99
  0.00,  1.22,  5.00,  5.00
  0.00,  1.24,  5.00,  5.00
  0.00,  1.26,  5.00,  5.00
  0.00,  1.28,  5.00,  5.00
  0.00,  1.30,  5.00,  5.00
  0.00,  1.31,  5.00,  5.00
  0.00,  1.33,  5.00,  5.00
  0.00,  1.35,  5.00,  5.00
  0.00,  1.37,  4.99,  5.00
  0.00,  1.39,  5.00,  5.00
  0.00,  1.41,  5.00,  4.99
  0.00,  1.43,  5.00,  5.00
  0.00,  1.45,  5.00,  5.00
  0.00,  1.47,  5.00,  5.00
  0.00,  1.49,  4.99,  5.00
  0.00,  1.51,  4.99,  5.00
  0.00,  1.53,  5.00,  5.00
  0.00,  1.55,  5.00,  5.00
  0.00,  1.57,  5.00,  5.00
  0.00,  1.58,  5.00,  5.00
  0.00,  1.60,  5.00,  5.00
  0.00,  1.62,  5.00,  5.00
  0.00,  1.64,  5.00,  5.00
  0.00,  1.66,  5.00,  5.00
  0.00,  1.68,  5.00,  5.00
  0.00,  1.71,  5.00,  5.00
  0.00,  1.72,  5.00,  5.00
  0.00,  1.74,  5.00,  5.00
  0.00,  1.76,  5.00,  5.00
  0.00,  1.78,  5.00,  5.00
  0.00,  1.80,  5.00,  5.00
  0.00,  1.82,  5.00,  5.00
  0.00,  1.84,  5.00,  5.00
  0.00,  1.86,  5.00,  5.00
  0.00,  1.88,  5.00,  5.00
  0.00,  1.90,  5.00,  5.00
  0.00,  1.92,  5.00,  5.00
  0.00,  1.94,  5.00,  5.00
  0.00,  1.96,  5.00,  5.00
  0.00,  1.97,  5.00,  5.00
  0.00,  1.99,  5.00,  5.00
  0.00,  2.01,  5.00,  5.00
  0.00,  2.03,  5.00,  5.00
  0.00,  2.05,  5.00,  5.00
  0.00,  2.07,  5.00,  5.00
  0.00,  2.09,  5.00,  5.00
  0.00,  2.11,  5.00,  5.00
  0.00,  2.13,  5.00,  5.00
  0.00,  2.15,  5.00,  4.99
  0.00,  2.17,  4.99,  5.00
  0.00,  2.19,  5.00,  5.00
  0.00,  2.20,  5.00,  5.00
  0.00,  2.23,  5.00,  5.00
  0.00,  2.24,  5.00,  5.00
  0.00,  2.27,  4.99,  5.00
  0.00,  2.29,  5.00,  5.00
  0.00,  2.31,  5.00,  5.00
  0.00,  2.32,  5.00,  5.00
  0.00,  2.35,  5.00,  5.00
  0.00,  2.37,  5.00,  5.00
  0.00,  2.39,  5.00,  5.00
  0.00,  2.40,  5.00,  5.00
  0.00,  2.42,  5.00,  5.00
  0.00,  2.44,  5.00,  5.00
  0.00,  2.46,  5.00,  5.00
  0.00,  2.48,  5.00,  5.00
  0.00,  2.50,  5.00,  5.00
  0.00,  2.52,  5.00,  5.00
  0.00,  2.54,  5.00,  5.00
  0.00,  2.56,  5.00,  5.00
  0.00,  2.58,  5.00,  5.00
  0.00,  2.60,  5.00,  5.00
  0.00,  2.61,  5.00,  5.00
  0.00,  2.63,  5.00,  5.00
  0.00,  2.65,  5.00,  5.00
  0.00,  2.67,  5.00,  5.00
  0.00,  2.69,  5.00,  5.00
  0.00,  2.71,  5.00,  5.00
  0.00,  2.73,  5.00,  5.00
  0.00,  2.76,  5.00,  5.00
  0.00,  2.77,  5.00,  5.00
  0.00,  2.79,  5.00,  5.00
  0.00,  2.81,  5.00,  5.00
  0.00,  2.83,  5.00,  5.00
  0.00,  2.85,  5.00,  5.00
  0.00,  2.86,  5.00,  5.00
  0.00,  2.88,  5.00,  5.00
  0.00,  2.91,  5.00,  5.00
  0.00,  2.92,  5.00,  5.00
  0.00,  2.95,  5.00,  5.00
  0.00,  2.97,  5.00,  5.00
  0.00,  2.99,  4.99,  5.00
  0.00,  3.01,  5.00,  5.00
  0.00,  3.03,  5.00,  5.00
  0.00,  3.04,  5.00,  5.00
  0.00,  3.06,  5.00,  5.00
  0.00,  3.08,  5.00,  5.00
  0.00,  3.10,  5.00,  5.00
  0.00,  3.11,  5.00,  5.00
  0.00,  3.14,  5.00,  5.00
  0.00,  3.16,  5.00,  5.00
  0.00,  3.18,  5.00,  5.00
  0.00,  3.20,  5.00,  5.00
  0.00,  3.22,  5.00,  5.00
  0.00,  3.24,  5.00,  5.00
  0.00,  3.25,  5.00,  5.00
  0.00,  3.28,  5.00,  5.00
  0.00,  3.29,  5.00,  4.99
  0.00,  3.31,  5.00,  5.00
  0.00,  3.34,  5.00,  5.00
  0.00,  3.35,  5.00,  5.00
  0.00,  3.38,  5.00,  5.00
  0.00,  3.39,  5.00,  5.00
  0.00,  3.41,  5.00,  4.99
  0.00,  3.43,  5.00,  5.00
  0.00,  3.45,  5.00,  5.00
  0.00,  3.47,  5.00,  5.00
  0.00,  3.48,  5.00,  5.00
  0.00,  3.50,  5.00,  5.00
  0.00,  3.53,  5.00,  5.00
  0.00,  3.55,  5.00,  5.00
  0.00,  3.57,  5.00,  5.00
  0.00,  3.59,  5.00,  5.00
  0.00,  3.61,  5.00,  5.00
  0.00,  3.63,  5.00,  5.00
  0.00,  3.64,  5.00,  5.00
  0.00,  3.67,  5.00,  5.00
  0.00,  3.68,  5.00,  5.00
  0.00,  3.70,  4.99,  4.99
  0.00,  3.72,  5.00,  5.00
  0.00,  3.74,  5.00,  5.00
  0.00,  3.76,  5.00,  5.00
  0.00,  3.79,  5.00,  5.00
  0.00,  3.80,  5.00,  5.00
  0.00,  3.82,  5.00,  5.00
  0.00,  3.84,  5.00,  5.00
  0.00,  3.86,  5.00,  4.99
  0.00,  3.88,  5.00,  5.00
  0.00,  3.90,  5.00,  5.00
  0.00,  3.91,  5.00,  5.00
  0.00,  3.94,  5.00,  5.00
  0.00,  3.95,  5.00,  5.00
  0.00,  3.97,  5.00,  5.00
  0.00,  4.00,  5.00,  5.00
  0.00,  4.01,  5.00,  5.00
  0.00,  4.03,  5.00,  5.00
  0.00,  4.06,  5.00,  5.00
  0.00,  4.07,  5.00,  5.00
  0.00,  4.09,  5.00,  5.00
  0.00,  4.11,  5.00,  5.00
  0.00,  4.13,  5.00,  5.00
  0.00,  4.15,  5.00,  5.00
  0.00,  4.17,  5.00,  5.00
  0.00,  4.19,  5.00,  5.00
  0.00,  4.21,  5.00,  5.00
  0.00,  4.23,  5.00,  5.00
  0.00,  4.24,  5.00,  5.00
  0.00,  4.27,  5.00,  5.00
  0.00,  4.29,  5.00,  5.00
  0.00,  4.31,  5.00,  5.00
  0.00,  4.32,  5.00,  5.00
  0.00,  4.34,  5.00,  5.00
  0.00,  4.36,  5.00,  5.00
  0.00,  4.39,  5.00,  5.00
  0.00,  4.40,  5.00,  5.00
  0.00,  4.42,  5.00,  5.00
  0.00,  4.44,  5.00,  5.00
  0.00,  4.46,  5.00,  5.00
  0.00,  4.48,  5.00,  5.00
  0.00,  4.51,  5.00,  5.00
  0.00,  4.53,  5.00,  5.00
  0.00,  4.53,  5.00,  5.00
  0.00,  4.56,  5.00,  5.00
  0.00,  4.57,  5.00,  5.00
  0.00,  4.59,  5.00,  5.00
  0.00,  4.61,  5.00,  5.00
  0.00,  4.64,  5.00,  5.00
  0.00,  4.66,  5.00,  5.00
  0.00,  4.67,  5.00,  5.00
  0.00,  4.70,  5.00,  5.00
  0.00,  4.71,  5.00,  5.00
  0.00,  4.73,  5.00,  5.00
  0.00,  4.76,  5.00,  5.00
  0.00,  4.78,  5.00,  5.00
  0.00,  4.79,  5.00,  5.00
  0.00,  4.82,  5.00,  5.00
  0.00,  4.83,  5.00,  4.99
  0.00,  4.86,  5.00,  5.00
  0.00,  4.87,  5.00,  5.00
  0.00,  4.89,  5.00,  5.00
  0.00,  4.91,  5.00,  5.00
  0.00,  4.93,  5.00,  5.00
  0.00,  4.95,  5.00,  5.00
  0.00,  4.97,  5.00,  5.00
